Holiday,Temperature,Rain_1h,Snow_1h,Clouds_All,Weather_Main,Weather_Description,Date_Time,Traffic_Volume,Month,Day,Year,Hour
None,68.14,0.0,0.0,1,Clear,sky is clear,10/03/2012 13:00,4887,10,3,2012,13
None,70.09,0.0,0.0,1,Clear,sky is clear,10/03/2012 14:00,5337,10,3,2012,14
None,71.64,0.0,0.0,1,Clear,sky is clear,10/03/2012 15:00,5692,10,3,2012,15
None,71.56,0.0,0.0,1,Clear,sky is clear,10/03/2012 16:00,6137,10,3,2012,16
None,68.92,0.0,0.0,20,Clouds,few clouds,10/03/2012 18:00,4623,10,3,2012,18
None,63.5,0.0,0.0,20,Clouds,few clouds,10/03/2012 19:00,3591,10,3,2012,19
None,59.07,0.0,0.0,20,Clouds,few clouds,10/03/2012 20:00,2898,10,3,2012,20
None,57.11,0.0,0.0,1,Clear,sky is clear,10/03/2012 21:00,2637,10,3,2012,21
None,55.58,0.0,0.0,1,Clear,sky is clear,10/03/2012 22:00,1777,10,3,2012,22
None,53.8,0.0,0.0,1,Clear,sky is clear,10/03/2012 23:00,1015,10,3,2012,23
None,52.52,0.0,0.0,1,Clear,sky is clear,10/04/2012 00:00,598,10,4,2012,0
None,50.58,0.0,0.0,1,Clear,sky is clear,10/04/2012 01:00,369,10,4,2012,1
None,50.04,0.0,0.0,1,Clear,sky is clear,10/04/2012 02:00,312,10,4,2012,2
None,48.0,0.0,0.0,1,Clear,sky is clear,10/04/2012 03:00,367,10,4,2012,3
None,47.37,0.0,0.0,1,Clear,sky is clear,10/04/2012 04:00,835,10,4,2012,4
None,46.71,0.0,0.0,1,Clear,sky is clear,10/04/2012 05:00,2726,10,4,2012,5
None,45.66,0.0,0.0,1,Clear,sky is clear,10/04/2012 06:00,5689,10,4,2012,6
None,45.36,0.0,0.0,1,Clear,sky is clear,10/04/2012 07:00,6990,10,4,2012,7
None,47.68,0.0,0.0,1,Clear,sky is clear,10/04/2012 08:00,5985,10,4,2012,8
None,53.29,0.0,0.0,1,Clear,sky is clear,10/04/2012 09:00,5309,10,4,2012,9
None,60.85,0.0,0.0,1,Clear,sky is clear,10/04/2012 10:00,4603,10,4,2012,10
None,65.12,0.0,0.0,1,Clear,sky is clear,10/04/2012 11:00,4884,10,4,2012,11
None,71.28,0.0,0.0,1,Clear,sky is clear,10/04/2012 12:00,5104,10,4,2012,12
None,73.81,0.0,0.0,1,Clear,sky is clear,10/04/2012 13:00,5178,10,4,2012,13
None,75.51,0.0,0.0,1,Clear,sky is clear,10/04/2012 14:00,5501,10,4,2012,14
None,77.04,0.0,0.0,1,Clear,sky is clear,10/04/2012 15:00,5713,10,4,2012,15
None,76.84,0.0,0.0,20,Clouds,few clouds,10/04/2012 16:00,6292,10,4,2012,16
None,76.14,0.0,0.0,20,Clouds,few clouds,10/04/2012 17:00,6057,10,4,2012,17
None,73.78,0.0,0.0,40,Clouds,scattered clouds,10/04/2012 18:00,4907,10,4,2012,18
None,69.26,0.0,0.0,40,Clouds,scattered clouds,10/04/2012 19:00,3503,10,4,2012,19
None,66.7,0.0,0.0,40,Clouds,scattered clouds,10/04/2012 20:00,3037,10,4,2012,20
None,65.52,0.0,0.0,75,Clouds,broken clouds,10/04/2012 21:00,2822,10,4,2012,21
None,64.78,0.0,0.0,75,Clouds,broken clouds,10/04/2012 22:00,1992,10,4,2012,22
None,64.35,0.0,0.0,75,Clouds,broken clouds,10/04/2012 23:00,1166,10,4,2012,23
None,63.46,0.0,0.0,75,Clouds,broken clouds,10/05/2012 00:00,627,10,5,2012,0
None,63.16,0.0,0.0,40,Clouds,scattered clouds,10/05/2012 01:00,388,10,5,2012,1
None,61.0,0.0,0.0,0,Clear,sky is clear,10/05/2012 03:00,368,10,5,2012,3
None,50.11,0.0,0.0,75,Clouds,broken clouds,10/05/2012 05:00,2489,10,5,2012,5
None,48.36,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 06:00,5537,10,5,2012,6
None,47.37,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 07:00,6628,10,5,2012,7
None,45.36,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 08:00,5534,10,5,2012,8
None,44.37,0.0,0.0,75,Clouds,broken clouds,10/05/2012 09:00,5403,10,5,2012,9
None,44.53,0.0,0.0,75,Clouds,broken clouds,10/05/2012 10:00,4770,10,5,2012,10
None,44.33,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 11:00,5217,10,5,2012,11
None,45.28,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 12:00,5870,10,5,2012,12
None,46.9,0.0,0.0,75,Clouds,broken clouds,10/05/2012 13:00,5967,10,5,2012,13
None,47.53,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 14:00,6108,10,5,2012,14
None,47.77,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 15:00,6128,10,5,2012,15
None,47.44,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 16:00,6069,10,5,2012,16
None,46.89,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 17:00,6169,10,5,2012,17
None,45.9,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 18:00,5384,10,5,2012,18
None,44.6,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 19:00,4063,10,5,2012,19
None,43.93,0.0,0.0,90,Clouds,overcast clouds,10/05/2012 20:00,3364,10,5,2012,20
None,43.7,0.0,0.0,75,Clouds,broken clouds,10/05/2012 21:00,2971,10,5,2012,21
None,42.93,0.0,0.0,40,Clouds,scattered clouds,10/05/2012 22:00,2450,10,5,2012,22
None,42.64,0.0,0.0,40,Clouds,scattered clouds,10/05/2012 23:00,1832,10,5,2012,23
None,42.19,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 00:00,1231,10,6,2012,0
None,41.72,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 01:00,718,10,6,2012,1
None,41.79,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 02:00,545,10,6,2012,2
None,38.91,0.0,0.0,75,Clouds,broken clouds,10/06/2012 04:00,411,10,6,2012,4
None,37.76,0.0,0.0,20,Clouds,few clouds,10/06/2012 05:00,688,10,6,2012,5
None,36.05,0.0,0.0,1,Clear,sky is clear,10/06/2012 06:00,1352,10,6,2012,6
None,35.64,0.0,0.0,1,Clear,sky is clear,10/06/2012 07:00,2072,10,6,2012,7
None,35.31,0.0,0.0,1,Clear,sky is clear,10/06/2012 08:00,3342,10,6,2012,8
None,35.49,0.0,0.0,40,Clouds,scattered clouds,10/06/2012 09:00,4258,10,6,2012,9
None,38.71,0.0,0.0,20,Clouds,few clouds,10/06/2012 10:00,4861,10,6,2012,10
None,40.8,0.0,0.0,20,Clouds,few clouds,10/06/2012 11:00,5191,10,6,2012,11
None,42.67,0.0,0.0,40,Clouds,scattered clouds,10/06/2012 12:00,5669,10,6,2012,12
None,44.55,0.0,0.0,75,Clouds,broken clouds,10/06/2012 13:00,5074,10,6,2012,13
None,44.78,0.0,0.0,75,Clouds,broken clouds,10/06/2012 14:00,5025,10,6,2012,14
None,44.33,0.0,0.0,75,Clouds,broken clouds,10/06/2012 15:00,5153,10,6,2012,15
None,42.64,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 16:00,5024,10,6,2012,16
None,42.37,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 17:00,4779,10,6,2012,17
None,41.43,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 18:00,4362,10,6,2012,18
None,41.02,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 19:00,3860,10,6,2012,19
None,41.02,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 20:00,3160,10,6,2012,20
None,40.6,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 21:00,2992,10,6,2012,21
None,38.75,0.0,0.0,90,Clouds,overcast clouds,10/06/2012 22:00,3202,10,6,2012,22
None,37.74,0.0,0.0,75,Clouds,broken clouds,10/06/2012 23:00,1941,10,6,2012,23
None,37.33,0.0,0.0,75,Clouds,broken clouds,10/07/2012 00:00,1233,10,7,2012,0
None,36.64,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 03:00,323,10,7,2012,3
None,36.5,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 04:00,312,10,7,2012,4
None,36.25,0.0,0.0,75,Clouds,broken clouds,10/07/2012 05:00,627,10,7,2012,5
None,35.42,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 06:00,1508,10,7,2012,6
None,34.92,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 07:00,1539,10,7,2012,7
None,34.92,0.0,0.0,75,Clouds,broken clouds,10/07/2012 08:00,2232,10,7,2012,8
None,36.32,0.0,0.0,75,Clouds,broken clouds,10/07/2012 09:00,4568,10,7,2012,9
None,37.56,0.0,0.0,75,Clouds,broken clouds,10/07/2012 10:00,4624,10,7,2012,10
None,38.95,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 11:00,4529,10,7,2012,11
None,39.7,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 12:00,5139,10,7,2012,12
None,41.54,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 13:00,6640,10,7,2012,13
None,43.02,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 14:00,6589,10,7,2012,14
None,43.02,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 15:00,4429,10,7,2012,15
None,43.32,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 16:00,4329,10,7,2012,16
None,43.11,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 17:00,3833,10,7,2012,17
None,43.02,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 18:00,4015,10,7,2012,18
None,40.93,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 19:00,3382,10,7,2012,19
None,38.55,0.0,0.0,75,Clouds,broken clouds,10/07/2012 20:00,2815,10,7,2012,20
None,36.64,0.0,0.0,90,Clouds,overcast clouds,10/07/2012 21:00,2110,10,7,2012,21
None,35.11,0.0,0.0,75,Clouds,broken clouds,10/07/2012 22:00,1555,10,7,2012,22
None,33.39,0.0,0.0,20,Clouds,few clouds,10/07/2012 23:00,959,10,7,2012,23
Columbus Day,31.87,0.0,0.0,20,Clouds,few clouds,10/08/2012 00:00,455,10,8,2012,0
Columbus Day,31.05,0.0,0.0,20,Clouds,few clouds,10/08/2012 01:00,336,10,8,2012,1
Columbus Day,29.53,0.0,0.0,1,Clear,sky is clear,10/08/2012 02:00,265,10,8,2012,2
Columbus Day,28.22,0.0,0.0,1,Clear,sky is clear,10/08/2012 03:00,314,10,8,2012,3
Columbus Day,27.46,0.0,0.0,1,Clear,sky is clear,10/08/2012 04:00,779,10,8,2012,4
Columbus Day,26.92,0.0,0.0,1,Clear,sky is clear,10/08/2012 05:00,2571,10,8,2012,5
Columbus Day,25.63,0.0,0.0,20,Clouds,few clouds,10/08/2012 06:00,5563,10,8,2012,6
Columbus Day,26.35,0.0,0.0,20,Clouds,few clouds,10/08/2012 07:00,6676,10,8,2012,7
Columbus Day,28.54,0.0,0.0,20,Clouds,few clouds,10/08/2012 08:00,5966,10,8,2012,8
Columbus Day,33.01,0.0,0.0,20,Clouds,few clouds,10/08/2012 09:00,4832,10,8,2012,9
Columbus Day,38.52,0.0,0.0,20,Clouds,few clouds,10/08/2012 10:00,4395,10,8,2012,10
Columbus Day,43.38,0.0,0.0,20,Clouds,few clouds,10/08/2012 11:00,4411,10,8,2012,11
Columbus Day,44.04,0.0,0.0,1,Clear,sky is clear,10/08/2012 12:00,4648,10,8,2012,12
Columbus Day,48.54,0.0,0.0,40,Clouds,scattered clouds,10/08/2012 13:00,4602,10,8,2012,13
Columbus Day,49.62,0.0,0.0,40,Clouds,scattered clouds,10/08/2012 14:00,5125,10,8,2012,14
Columbus Day,50.59,0.0,0.0,1,Clear,sky is clear,10/08/2012 15:00,5502,10,8,2012,15
Columbus Day,52.12,0.0,0.0,1,Clear,sky is clear,10/08/2012 16:00,5979,10,8,2012,16
Columbus Day,52.39,0.0,0.0,40,Clouds,scattered clouds,10/08/2012 17:00,5663,10,8,2012,17
Columbus Day,51.94,0.0,0.0,40,Clouds,scattered clouds,10/08/2012 18:00,4259,10,8,2012,18
Columbus Day,47.91,0.0,0.0,20,Clouds,few clouds,10/08/2012 19:00,3069,10,8,2012,19
Columbus Day,43.99,0.0,0.0,1,Clear,sky is clear,10/08/2012 20:00,2378,10,8,2012,20
Columbus Day,43.16,0.0,0.0,1,Clear,sky is clear,10/08/2012 21:00,2030,10,8,2012,21
Columbus Day,42.35,0.0,0.0,1,Clear,sky is clear,10/08/2012 22:00,1400,10,8,2012,22
Columbus Day,41.56,0.0,0.0,1,Clear,sky is clear,10/08/2012 23:00,917,10,8,2012,23
None,40.33,0.0,0.0,1,Clear,sky is clear,10/09/2012 00:00,515,10,9,2012,0
None,39.42,0.0,0.0,1,Clear,sky is clear,10/09/2012 01:00,302,10,9,2012,1
None,39.78,0.0,0.0,1,Clear,sky is clear,10/09/2012 02:00,251,10,9,2012,2
None,38.88,0.0,0.0,20,Clouds,few clouds,10/09/2012 04:00,798,10,9,2012,4
None,38.07,0.0,0.0,40,Clouds,scattered clouds,10/09/2012 05:00,2678,10,9,2012,5
None,38.21,0.0,0.0,40,Clouds,scattered clouds,10/09/2012 06:00,5733,10,9,2012,6
None,39.49,0.0,0.0,75,Clouds,broken clouds,10/09/2012 07:00,6449,10,9,2012,7
None,41.41,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 08:00,5765,10,9,2012,8
None,43.16,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 09:00,5599,10,9,2012,9
None,46.8,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 10:00,4534,10,9,2012,10
None,49.93,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 11:00,4691,10,9,2012,11
None,51.67,0.0,0.0,75,Clouds,broken clouds,10/09/2012 12:00,5067,10,9,2012,12
None,53.58,0.0,0.0,75,Clouds,broken clouds,10/09/2012 13:00,5030,10,9,2012,13
None,55.76,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 14:00,5300,10,9,2012,14
None,57.34,0.0,0.0,100,Rain,light rain,10/09/2012 15:00,5777,10,9,2012,15
None,59.68,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 16:00,6349,10,9,2012,16
None,63.0,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 17:00,6127,10,9,2012,17
None,62.56,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 18:00,4460,10,9,2012,18
None,60.28,0.0,0.0,75,Clouds,broken clouds,10/09/2012 19:00,3418,10,9,2012,19
None,57.58,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 20:00,2775,10,9,2012,20
None,53.53,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 21:00,2306,10,9,2012,21
None,50.56,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 22:00,1846,10,9,2012,22
None,48.74,0.0,0.0,90,Clouds,overcast clouds,10/09/2012 23:00,947,10,9,2012,23
None,47.71,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 00:00,494,10,10,2012,0
None,47.53,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 01:00,332,10,10,2012,1
None,46.29,0.0,0.0,75,Clouds,broken clouds,10/10/2012 02:00,261,10,10,2012,2
None,46.44,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 03:00,361,10,10,2012,3
None,46.58,0.0,0.0,92,Clear,sky is clear,10/10/2012 06:00,5875,10,10,2012,6
None,46.58,0.0,0.0,99,Rain;Drizzle,light rain;light intensity drizzle,10/10/2012 07:00,6793,10,10,2012,7
None,44.51,0.0,0.0,99,Rain;Drizzle,light rain;light intensity drizzle,10/10/2012 08:00,6283,10,10,2012,8
None,43.63,0.0,0.0,99,Rain;Drizzle,light rain;light intensity drizzle,10/10/2012 09:00,5680,10,10,2012,9
None,43.74,0.0,0.0,99,Clear,sky is clear,10/10/2012 10:00,4632,10,10,2012,10
None,44.67,0.0,0.0,1,Clear,sky is clear,10/10/2012 11:00,4887,10,10,2012,11
None,48.09,0.0,0.0,75,Clouds,broken clouds,10/10/2012 12:00,5030,10,10,2012,12
None,48.4,0.0,0.0,75,Clouds,broken clouds,10/10/2012 13:00,5067,10,10,2012,13
None,48.02,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 14:00,5227,10,10,2012,14
None,47.19,0.0,0.0,90,Clouds,overcast clouds,10/10/2012 15:00,5610,10,10,2012,15
None,46.54,0.0,0.0,81,Clear,sky is clear,10/10/2012 16:00,6286,10,10,2012,16
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 18:00,4775,10,10,2012,18
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 19:00,3340,10,10,2012,19
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 20:00,3013,10,10,2012,20
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 21:00,2603,10,10,2012,21
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 22:00,1910,10,10,2012,22
None,49.01,0.0,0.0,81,Clear,sky is clear,10/10/2012 23:00,1037,10,10,2012,23
None,33.35,0.0,0.0,1,Clear,sky is clear,10/11/2012 01:00,347,10,11,2012,1
None,34.25,0.0,0.0,75,Clouds,broken clouds,10/11/2012 03:00,350,10,11,2012,3
None,33.62,0.0,0.0,75,Clouds,broken clouds,10/11/2012 04:00,850,10,11,2012,4
None,33.01,0.0,0.0,40,Clouds,scattered clouds,10/11/2012 05:00,2791,10,11,2012,5
None,31.12,0.0,0.0,1,Clear,sky is clear,10/11/2012 06:00,5809,10,11,2012,6
None,31.1,0.0,0.0,1,Clear,sky is clear,10/11/2012 07:00,6798,10,11,2012,7
None,30.87,0.0,0.0,1,Clear,sky is clear,10/11/2012 08:00,6304,10,11,2012,8
None,35.67,0.0,0.0,20,Clouds,few clouds,10/11/2012 09:00,5291,10,11,2012,9
None,35.94,0.0,0.0,1,Clear,sky is clear,10/11/2012 10:00,4638,10,11,2012,10
None,51.71,0.0,0.0,50,Clear,sky is clear,10/11/2012 14:00,5557,10,11,2012,14
None,51.71,0.0,0.0,50,Clear,sky is clear,10/11/2012 15:00,5818,10,11,2012,15
None,51.13,0.0,0.0,75,Clouds,broken clouds,10/11/2012 16:00,6272,10,11,2012,16
None,50.67,0.0,0.0,75,Clouds,broken clouds,10/11/2012 17:00,5944,10,11,2012,17
None,50.31,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 18:00,4949,10,11,2012,18
None,48.04,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 19:00,3511,10,11,2012,19
None,47.84,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 20:00,3039,10,11,2012,20
None,47.59,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 21:00,2679,10,11,2012,21
None,48.22,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 22:00,2094,10,11,2012,22
None,48.88,0.0,0.0,90,Clouds,overcast clouds,10/11/2012 23:00,1284,10,11,2012,23
None,51.37,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 00:00,630,10,12,2012,0
None,52.68,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 01:00,410,10,12,2012,1
None,52.63,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 02:00,331,10,12,2012,2
None,50.05,0.0,0.0,72,Drizzle,light intensity drizzle,10/12/2012 03:00,372,10,12,2012,3
None,48.4,0.0,0.0,72,Rain,light rain,10/12/2012 04:00,739,10,12,2012,4
None,45.72,0.0,0.0,72,Drizzle,light intensity drizzle,10/12/2012 05:00,2561,10,12,2012,5
None,41.68,0.0,0.0,75,Clouds,broken clouds,10/12/2012 06:00,5586,10,12,2012,6
None,40.08,0.0,0.0,75,Clouds,broken clouds,10/12/2012 07:00,6992,10,12,2012,7
None,40.55,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 08:00,5860,10,12,2012,8
None,41.05,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 09:00,5230,10,12,2012,9
None,43.05,0.0,0.0,75,Clouds,broken clouds,10/12/2012 10:00,4864,10,12,2012,10
None,45.14,0.0,0.0,75,Clouds,broken clouds,10/12/2012 11:00,5146,10,12,2012,11
None,46.04,0.0,0.0,40,Clouds,scattered clouds,10/12/2012 12:00,5526,10,12,2012,12
None,47.46,0.0,0.0,40,Clouds,scattered clouds,10/12/2012 13:00,5383,10,12,2012,13
None,47.64,0.0,0.0,75,Clouds,broken clouds,10/12/2012 14:00,5758,10,12,2012,14
None,48.74,0.0,0.0,75,Clouds,broken clouds,10/12/2012 15:00,5889,10,12,2012,15
None,48.29,0.0,0.0,75,Clouds,broken clouds,10/12/2012 16:00,6057,10,12,2012,16
None,47.1,0.0,0.0,40,Clouds,scattered clouds,10/12/2012 17:00,6028,10,12,2012,17
None,44.71,0.0,0.0,20,Clouds,few clouds,10/12/2012 18:00,5257,10,12,2012,18
None,48.29,0.0,0.0,56,Clear,sky is clear,10/12/2012 23:00,1897,10,12,2012,23
None,30.97,0.0,0.0,1,Clear,sky is clear,10/13/2012 00:00,1335,10,13,2012,0
None,30.04,0.0,0.0,1,Clear,sky is clear,10/13/2012 01:00,769,10,13,2012,1
None,28.11,0.0,0.0,1,Clear,sky is clear,10/13/2012 02:00,570,10,13,2012,2
None,26.85,0.0,0.0,20,Clouds,few clouds,10/13/2012 03:00,413,10,13,2012,3
None,25.39,0.0,0.0,1,Clear,sky is clear,10/13/2012 04:00,399,10,13,2012,4
None,25.02,0.0,0.0,1,Clear,sky is clear,10/13/2012 05:00,740,10,13,2012,5
None,24.37,0.0,0.0,1,Clear,sky is clear,10/13/2012 06:00,1420,10,13,2012,6
None,24.49,0.0,0.0,75,Clouds,broken clouds,10/13/2012 07:00,2220,10,13,2012,7
None,24.94,0.0,0.0,40,Clouds,scattered clouds,10/13/2012 08:00,3479,10,13,2012,8
None,31.03,0.0,0.0,40,Clouds,scattered clouds,10/13/2012 09:00,4546,10,13,2012,9
None,38.53,0.0,0.0,20,Clouds,few clouds,10/13/2012 10:00,4579,10,13,2012,10
None,42.93,0.0,0.0,1,Clear,sky is clear,10/13/2012 11:00,4438,10,13,2012,11
None,44.96,0.0,0.0,1,Clear,sky is clear,10/13/2012 12:00,4623,10,13,2012,12
None,47.59,0.0,0.0,1,Clear,sky is clear,10/13/2012 13:00,4440,10,13,2012,13
None,49.82,0.0,0.0,1,Clear,sky is clear,10/13/2012 14:00,4495,10,13,2012,14
None,51.46,0.0,0.0,1,Clear,sky is clear,10/13/2012 15:00,4483,10,13,2012,15
None,52.48,0.0,0.0,1,Clear,sky is clear,10/13/2012 16:00,4591,10,13,2012,16
None,52.32,0.0,0.0,1,Clear,sky is clear,10/13/2012 17:00,4477,10,13,2012,17
None,50.88,0.0,0.0,1,Clear,sky is clear,10/13/2012 18:00,4221,10,13,2012,18
None,47.66,0.0,0.0,20,Clouds,few clouds,10/13/2012 19:00,3672,10,13,2012,19
None,46.81,0.0,0.0,1,Clear,sky is clear,10/13/2012 20:00,3015,10,13,2012,20
None,47.64,0.0,0.0,75,Clouds,broken clouds,10/13/2012 21:00,2769,10,13,2012,21
None,48.34,0.0,0.0,90,Clouds,overcast clouds,10/13/2012 22:00,2875,10,13,2012,22
None,48.25,0.0,0.0,90,Clouds,overcast clouds,10/13/2012 23:00,1931,10,13,2012,23
None,48.81,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 00:00,1309,10,14,2012,0
None,48.9,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 01:00,870,10,14,2012,1
None,48.97,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 02:00,654,10,14,2012,2
None,48.34,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 03:00,364,10,14,2012,3
None,48.07,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 04:00,262,10,14,2012,4
None,48.34,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 05:00,505,10,14,2012,5
None,48.36,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 06:00,861,10,14,2012,6
None,48.36,0.0,0.0,90,Clouds,overcast clouds,10/14/2012 07:00,1132,10,14,2012,7
None,48.36,0.0,0.0,57,Mist,mist,10/14/2012 08:00,1797,10,14,2012,8
None,48.7,0.0,0.0,57,Drizzle;Mist;Haze,light intensity drizzle;mist;haze,10/14/2012 09:00,2685,10,14,2012,9
None,48.52,0.0,0.0,57,Drizzle;Mist,light intensity drizzle;mist,10/14/2012 10:00,3370,10,14,2012,10
None,49.41,0.0,0.0,57,Drizzle;Mist,light intensity drizzle;mist,10/14/2012 11:00,3662,10,14,2012,11
None,50.32,0.0,0.0,57,Mist;Rain;Drizzle,mist;light rain;light intensity drizzle,10/14/2012 12:00,4076,10,14,2012,12
None,51.08,0.0,0.0,93,Rain;Mist;Drizzle,light rain;mist;light intensity drizzle,10/14/2012 13:00,4128,10,14,2012,13
None,51.69,0.0,0.0,93,Mist;Rain;Drizzle,mist;light rain;light intensity drizzle,10/14/2012 14:00,4358,10,14,2012,14
None,52.52,0.0,0.0,93,Mist;Rain,mist;light rain,10/14/2012 15:00,4342,10,14,2012,15
